6,12,7,-42,-1,-3,-2,22,,
-42,-9,-18,2,-6,-4,6,-3,,
-5,0,22,-1,0,-3,10,-35,,
-16,-2,-20,-8,-13,-6,6,95,,
11,6,30,19,-6,2,-15,-55,,
5,1,-16,27,12,4,8,66,,
-4,3,-4,-36,6,0,-1,-5,,
3,-15,-6,43,-8,-8,-15,-31,,
-15,15,23,-4,10,2,-2,-21,,
6,-8,-24,-25,-21,-2,7,5,,
-13,-5,-13,18,10,-8,-55,-60,,
53,11,0,-10,-6,9,105,97,,
-11,-7,13,58,9,-7,-56,-12,,
15,4,-9,-57,-1,11,45,31,,
-2,2,8,14,4,8,-2,38,,
5,-1,22,11,-9,-7,-29,-54,,
7,-6,-35,-50,-18,-3,7,-74,,
17,6,-4,-18,31,3,6,31,,
8,-1,8,19,4,-1,-4,-14,,
10,-8,-51,-58,-11,1,-34,-38,,
-33,-14,1,19,4,-4,53,65,,
-13,6,38,-5,-19,-5,-25,-58,,
5,-10,1,24,6,-2,20,14,,
-9,1,45,10,-16,-5,-18,-50,,
-2,-5,-48,52,3,0,-61,11,,
22,-7,-4,-68,-9,1,24,27,,
-6,6,12,24,9,4,13,-36,,
-11,-2,32,-8,1,9,32,64,,
2,-3,-12,-12,-1,-11,-10,-83,,
8,4,-32,3,-16,-6,-7,108,,
8,-10,-25,-36,13,5,-8,-44,,
-6,10,3,13,7,0,-34,-15,,
11,5,17,6,-1,10,79,3,,
-45,3,18,37,0,-7,-37,-42,,
-2,2,2,-52,-4,-4,-6,-14,,
-6,-2,-30,34,4,6,38,6,,
7,-3,-27,-20,-6,2,-15,52,,
0,0,35,28,-18,-14,-76,-60,,
-1,-2,19,36,2,11,79,37,,
12,1,-14,-32,1,0,0,7,,
3,13,33,24,-6,-6,-14,-1,,
3,-22,-11,14,16,1,-8,-43,,
3,-4,4,-1,-19,-10,-34,18,,
7,5,10,0,8,-1,-14,-24,,
-44,-4,-9,-13,10,3,-2,23,,
10,5,-9,11,6,-1,17,10,,
-3,0,14,-32,-12,-3,-10,35,,
-19,-10,-8,13,10,4,-1,-16,,
-13,-2,-9,-22,-9,-12,-13,-17,,
11,-4,-15,16,5,10,23,7,,
-7,5,-2,15,-19,-6,-13,-15,,
29,0,4,-10,17,2,11,12,,
-18,8,37,-21,17,0,-39,-75,,
-3,-13,-7,69,-3,-12,-24,-4,,
6,-13,-53,-37,-8,5,53,75,,
4,4,22,7,-14,-12,-42,-71,,
-2,-4,-19,-1,-5,3,13,27,,
-5,17,33,34,22,10,41,27,,
-10,-5,6,4,-2,-7,-48,-12,,
-12,-11,-3,13,-6,-5,27,34,,
23,1,-22,-22,12,16,59,-20,,
-3,4,7,-27,-7,2,-1,36,,
-4,8,5,44,1,-4,-18,-33,,
13,10,-4,-42,-3,-1,-8,52,,
-29,-6,14,53,0,-4,15,1,,
14,10,-12,-64,-5,-6,-16,-47,,
1,-2,-1,-9,-1,3,18,21,,
-27,-8,-11,17,-8,-4,-29,-73,,
11,1,14,8,2,-3,-5,9,,
9,-1,2,22,-2,3,11,4,,
-8,10,-5,-33,-1,1,-4,-14,,
-10,-7,15,45,-2,0,-2,-21,,
2,-1,-19,-59,-4,-7,-55,-56,,
20,6,-6,-21,-4,0,57,62,,
10,15,9,-9,-1,1,-20,-57,,
-6,8,-3,-8,5,0,-13,107,,
28,-2,-11,-11,-8,2,68,75,,
4,4,18,3,7,-3,-66,-103,,
10,6,-12,29,7,6,57,31,,
-8,-5,14,-28,-2,-5,-24,-24,,
-23,-8,-41,-37,-13,-8,-48,-35,,
28,-1,-9,17,6,1,52,10,,
1,0,27,-4,-9,-1,-42,-41,,
3,4,5,6,25,9,27,-74,,
17,1,15,34,-19,-4,-9,51,,
10,-13,-1,-29,-4,-2,-17,-36,,
-2,-6,-2,0,-17,-9,15,16,,
-2,-8,11,-6,-1,0,11,-4,,
1,-3,-27,-24,-1,4,-7,-1,,
-16,6,-12,31,-5,-9,-33,-13,,
-22,-4,17,-17,-8,6,13,68,,
8,9,-7,-4,-3,-3,-27,1,,
24,0,-17,-86,-8,-14,-4,3,,
-9,1,9,-23,-5,16,18,-58,,
0,2,4,74,20,0,23,37,,
-8,3,13,-9,-7,-4,0,-2,,
-39,-10,18,28,-5,-8,-41,-60,,
1,-3,-23,-74,10,-2,-6,41,,
3,1,18,12,3,2,6,-21,,
-13,-7,-16,22,0,-3,-5,-17,,
2,-1,9,36,0,1,13,68,,
-9,-3,-6,-53,4,8,7,-26,,
-4,-14,-14,20,-4,-5,-13,-11,,
10,3,10,9,3,5,14,-2,,
-45,22,45,55,3,0,-29,-63,,
-10,-19,-31,-10,4,-7,-1,8,,
11,2,-23,-52,-12,-3,33,36,,
-7,2,3,41,17,1,-17,-101,,
46,10,9,-18,-17,2,14,88,,
-38,-14,-24,9,17,-3,-12,-19,,
-16,-10,-7,-33,16,-3,-40,-53,,
0,-8,-18,0,-12,2,44,91,,
36,5,10,-2,1,5,4,-29,,
-17,13,44,67,11,-3,2,-7,,
22,-7,5,-5,-18,-9,-29,-11,,
-5,-14,-22,-28,3,-5,-35,83,,
-7,-3,-32,-6,11,5,38,31,,
8,6,22,22,-9,-7,-30,-21,,
-8,-4,-25,5,-16,-8,-15,1,,
16,15,16,8,4,3,11,-18,,
-35,1,17,21,24,-1,-32,-71,,
6,-8,-43,6,-15,7,73,55,,
-15,-3,14,-19,3,-3,-52,-29,,
18,8,-11,13,-12,3,56,39,,
12,-5,0,-75,0,3,-10,-37,,
-4,-2,-13,21,-23,-8,-22,-9,,
-11,-3,4,28,10,-5,-14,-11,,
-3,-7,-10,-16,3,2,21,-26,,
-1,-4,5,65,7,1,6,20,,
-36,3,2,-16,-5,-5,-46,-39,,
-5,1,1,-6,7,7,39,45,,
5,4,-1,-15,-1,-5,-27,14,,
5,0,16,24,3,1,20,0,,
9,-18,-54,-73,-20,0,0,88,,
-10,15,-22,7,3,0,-10,13,,
-12,-28,14,15,-12,1,-12,-24,,
8,-6,-26,-47,-18,-16,-7,-16,,
13,14,60,29,16,11,21,-21,,
4,1,-9,-18,7,2,4,-33,,
-3,-6,-21,29,1,-2,-1,59,,
3,-1,5,-14,0,-2,22,25,,
8,-8,-31,-2,-17,-8,-64,-54,,
3,0,9,13,2,-1,38,11,,
-2,21,24,-34,-4,-5,-11,-28,,
2,-24,-11,47,2,5,-9,-7,,
-2,8,10,12,9,-1,11,23,,
-4,-12,-10,-16,5,-2,5,-21,,
-4,12,-5,15,-6,1,-28,31,,
-15,7,20,-18,2,6,18,28,,
17,-3,-3,10,-9,-3,21,35,,
-1,-1,4,-8,-4,-9,-69,-71,,
1,3,7,26,21,15,83,32,,
5,-11,-34,-36,-17,-3,-6,1,,
-42,-8,0,-17,-5,-5,-39,-62,,
-1,12,19,44,8,5,9,18,,
6,-10,13,-19,-7,-8,-15,-42,,
-5,6,-18,8,9,-2,-10,9,,
22,7,16,46,6,4,7,54,,
10,5,19,32,14,12,36,25,,
-2,-2,-57,-116,-7,-6,-18,-15,,
-34,3,56,74,-10,-9,-25,-63,,
9,-10,1,14,-6,-5,8,15,,
9,9,10,-18,2,6,2,37,,
-1,5,3,45,14,2,5,-15,,
17,-10,-20,-47,-3,1,-26,-26,,
-68,-1,1,-8,2,-6,-42,-32,,
23,-12,-17,-23,-3,2,35,-10,,
18,19,1,-12,-11,-2,-25,-82,,
4,-5,15,30,17,10,34,115,,
4,8,-12,-36,-7,-5,6,-66,,
14,-14,-17,12,-16,-6,8,55,,
-49,-3,-30,-49,-13,-9,-27,-53,,
3,10,6,19,18,1,-17,-35,,
24,-1,18,25,3,1,21,-3,,
-4,3,-1,-10,5,-1,-6,-9,,
7,-2,12,0,-14,-1,-9,8,,
14,-5,-13,0,-1,-8,-33,-19,,
-20,-2,18,-8,-13,6,48,-17,,
-2,5,-1,10,18,4,-51,8,,
5,-3,16,-51,4,7,51,50,,
13,-1,-34,55,-32,-18,-9,30,,
14,6,-6,-37,3,2,-15,-23,,
-32,-16,15,12,-15,-9,-11,-55,,
5,-8,23,-2,-2,0,-9,99,,
-8,6,3,-12,14,7,10,-27,,
9,5,5,21,0,2,2,-16,,
-7,4,1,-1,-8,-9,-9,27,,
-6,-20,-23,32,7,-1,-33,-14,,
-38,-4,3,-51,-19,10,58,18,,
1,7,29,26,23,4,0,65,,
22,9,27,22,-3,-2,15,-14,,
-13,-13,-73,-74,-20,-11,-20,-38,,
10,1,18,72,-2,-2,-8,-7,,
2,-4,-18,-23,8,-3,4,-9,,
-16,-3,14,-38,-5,-6,-46,-17,,
13,7,19,42,5,7,82,16,,
5,10,9,-41,6,4,-9,6,,
8,-4,-3,38,1,3,9,26,,
9,0,-7,8,10,-4,0,20,,
0,-1,-3,-1,-6,-6,-40,-2,,Training Set 1
-14,12,30,12,11,4,5,-18,,
0,-20,-25,21,-14,-5,-10,-40,,
6,-1,-9,-72,-1,-2,0,-42,,
4,9,32,47,-12,-8,-14,45,,
20,5,18,35,9,7,38,-6,,
-4,0,-46,-30,18,4,8,13,,
-6,-9,-19,-14,-23,-13,-24,-37,,
8,5,14,9,5,0,-23,-24,,
3,-8,-28,29,13,12,52,46,,
-1,-1,14,-31,-16,-9,-6,-59,,
-8,-20,-50,12,-2,-2,-6,52,,
-8,12,7,11,13,5,2,-39,,
-23,10,13,16,3,3,26,-8,,
12,-5,19,-10,-15,-7,-6,20,,
3,7,21,28,11,2,-9,-30,,
-19,-9,-3,-18,3,-1,-16,26,,
-3,-3,-36,-27,-12,-7,-39,-115,,
10,10,32,64,16,-1,33,76,,
-9,-10,-12,-86,-25,6,-21,1,,
16,0,-17,21,-2,-9,-5,54,,
-7,-12,14,4,-9,0,4,15,,
-7,11,3,25,16,1,-12,-56,,
1,2,19,2,-3,3,5,11,,
-14,-3,7,52,-1,-6,-21,-17,,
12,0,-3,-80,-3,-4,-39,-40,,
4,1,-7,15,6,7,39,-31,,
26,5,-2,27,8,-3,8,-26,,
-2,7,16,-30,3,6,13,43,,
-13,-23,-11,6,-15,-8,13,-33,,
17,3,4,-59,-1,3,-3,42,,
-28,1,1,24,9,6,43,-9,,
11,7,31,20,6,-2,-30,-25,,
7,-7,-19,-29,-10,-10,-31,-41,,
-11,4,10,40,-12,3,33,51,,
-17,-8,-30,-50,-3,-6,-19,-40,,
-1,0,-20,-26,-12,-6,17,67,,
-6,0,0,20,8,2,-15,-88,,
0,-3,-11,11,5,1,2,90,,
29,16,11,66,16,0,-6,69,,
6,-36,0,0,-10,-3,37,-33,,
1,5,-20,-63,-18,-2,-21,-16,,
-1,-10,-23,-17,-7,-6,-34,-43,,
9,3,-6,-1,0,3,29,-13,,
14,2,-9,9,0,-6,-32,-30,,
4,1,3,17,9,4,9,103,,
-8,-3,3,6,3,4,-10,-1,,
-19,5,0,14,3,-5,-21,-11,,
-19,3,40,23,7,-2,6,-94,,
0,0,-1,11,-16,5,45,114,,
-2,2,-24,-48,-18,-10,-29,-41,,
-7,-6,-4,44,-1,-4,-27,-68,,
-40,-2,18,-1,6,0,43,45,,
7,5,22,56,9,6,-8,-13,,
-6,9,6,1,-1,0,-31,-75,,
-21,-14,-15,-42,-9,-8,-4,93,,
17,4,7,16,-6,4,41,-18,,
-5,6,16,4,11,-3,-16,9,,
-16,-3,7,-3,-17,-14,-14,-54,,
-9,-13,-11,5,21,16,26,56,,
-6,7,-1,0,9,2,-28,6,,
3,-10,-17,-12,-5,-4,-6,1,,
8,7,7,1,6,0,17,-37,,
8,2,28,41,-8,-4,-26,-6,,
9,-3,-15,-127,-9,4,25,32,,
32,12,-11,24,8,-4,5,-22,,
-23,-14,-6,26,10,-3,-23,92,,
9,-7,20,-36,2,-1,7,52,,
-15,-3,-40,22,-13,-1,-11,-16,,
-5,1,11,1,-4,-2,-20,-36,,
8,-1,7,53,24,-1,-29,-1,,
12,1,-6,-37,-11,-1,7,-125,,
15,11,3,13,0,5,29,103,,
-18,-22,-4,-20,-7,-8,-20,-6,,
7,5,2,-15,-18,4,24,-49,,
-45,-17,-6,13,13,-1,-29,30,,
19,11,30,-4,-7,-6,13,7,,
-26,-1,-15,18,3,2,-3,-20,,
11,2,-3,-43,-2,4,20,19,,
14,6,2,45,-10,-4,-29,-69,,
