33,14,38,46,13,7,-2,-16
15,-6,7,-2,7,5,6,24
-18,-14,69,70,-16,-6,-9,-22
3,-1,-69,-46,-6,1,-7,-15
38,-2,41,19,6,0,6,28
30,20,38,-8,10,-3,-2,7
-16,7,57,29,5,13,-2,-5
34,6,3,-15,-9,-5,8,9
-55,-6,-35,-25,6,-1,-5,-14
21,3,-11,-15,5,3,2,4
-61,-6,-32,5,3,-2,7,8
23,3,67,-55,-8,-4,-5,3
12,23,-7,104,23,8,2,-31
-33,-28,-68,-75,-13,-1,6,32
19,10,32,-48,-13,-9,1,9
23,-23,-65,4,-1,-2,-9,-28
41,-4,29,-42,-10,-2,2,13
51,17,-22,27,-1,7,8,-1
38,5,-9,-76,-4,2,26,70
-27,8,71,70,22,3,-3,-20
-35,-28,-74,9,-2,5,-1,-4
-26,-5,-38,27,6,-2,-15,-42
8,-1,32,-59,-8,3,12,7
10,18,74,43,5,0,0,7
11,-5,-50,-27,-9,-5,1,11
1,18,77,26,25,14,-6,-16
-46,-20,-52,14,-16,-3,5,-12
49,12,-76,-50,-10,-6,0,20
-41,-18,69,-30,-5,2,-3,-21
21,8,-79,-63,-17,-7,-8,64
-18,1,36,48,-6,-14,-5,2
22,-7,19,-22,-13,-7,-9,-17
14,10,59,38,-1,-3,-1,-10
12,-1,-50,-21,-6,-3,0,-7
37,20,1,-13,16,10,-8,-12
-17,-2,-9,22,9,0,10,25
18,17,43,-10,-3,-5,-3,12
40,-15,-25,9,0,-18,-6,-20
-52,-35,-91,-46,-1,10,-10,-16
14,19,78,11,7,12,5,-15
7,-4,0,87,1,1,0,2
12,-7,-6,-32,3,2,14,25
-15,-6,-80,1,10,-5,-10,-26
10,-12,-20,-59,-10,-1,-1,11
-14,-5,13,-48,-3,1,-1,35
1,22,84,-35,3,10,2,-9
37,8,-35,39,-1,-4,-4,1
1,17,51,20,8,3,-4,-8
20,3,-36,-7,-4,-3,0,-8
-15,-10,23,31,-6,-3,2,-1
-3,33,83,17,13,3,-7,-8
